Latitude,Longitude
-22.9840392,-43.2191573
-8.2141205,-78.9768999
1.2734955,103.8412354
1.281308,103.850939
1.2989586,103.8541296
1.3159351,103.9383127
1.3840621,103.8288408
4.6786703,-74.0457631
4.8470116,-74.0624267
8.9264902,-79.5929958
8.9798401,-79.5274812
8.982344,-79.509071
8.982344,-79.509071
8.9823792,-79.5198696
9.0100464,-79.4762271
9.052817,-79.616521
9.052817,-79.616521
9.3533491,-79.8952029
10.3725242,-75.492556
12.9363143,77.6296887
12.9367091,80.2337229
14.5995124,120.9842195
14.5995124,120.9842195
17.9643697,-76.7950797
17.984269,-76.824348
18.4846008,-67.1092463
18.9255432,72.8228688
22.2486063,114.1692068
22.2790533,114.1738931
22.2799508,114.1626534
22.2810219,114.1756349
22.2836391,114.1583339
22.284975,114.15064
22.2872639,114.2123889
22.2872639,114.2123889
22.396428,114.109497
22.396428,114.109497
25.0721732,55.1411013
25.0773685,55.1510829
25.3462553,55.4209317
25.7667887,-80.1943266
25.8072051,-80.329777
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8105331,-80.355523
25.8846433,-80.2438937
25.8846433,-80.2438937
25.8846433,-80.2438937
25.8856502,-80.1648001
25.8862084,-80.1651418
25.9733877,-97.3597811
25.9764286,-80.3016366
25.9821192,-80.3458111
26.0404768,-80.1447337
26.0656465,-80.3169148
26.068864,-80.1817524
26.068864,-80.1817524
26.0815361,-80.1326087
26.0830109,-80.1155381
26.0848496,-80.1382789
26.0848496,-80.1382789
26.0853299,-80.1777302
26.0853299,-80.1777302
26.0853299,-80.1777302
26.0912542,-80.1721221
26.0915311,-80.1247228
26.0937449,-80.2740082
26.0977086,-80.1419422
26.0977086,-80.1419422
26.0980881,-80.1321289
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1000841,-80.1271039
26.1076802,-80.2565023
26.1076802,-80.2565023
26.1434573,-80.3395374
26.1443088,-80.3414152
26.1870734,-80.17469
26.2093973,-80.141946
26.2093973,-80.141946
26.2229641,-80.1413755
26.231288,-80.2878359
26.2329803,-80.0925705
26.2329803,-80.0925705
26.2329803,-80.0925705
26.2329803,-80.0925705
26.5285667,-80.0689897
26.7002617,-81.957168
26.706737,-80.049582
26.7120981,-80.0517407
26.8458617,-80.0714777
27.1254878,-80.2348543
27.1254878,-80.2348543
27.1286467,-80.1759499
27.9425331,-82.435846
27.9439262,-82.4406817
27.9582559,-82.4365758
27.9798629,-82.3356424
28.1040694,-81.907194
28.1180803,-80.6883017
28.1180803,-80.6883017
28.1180803,-80.6883017
28.2609509,-80.6952304
29.3144385,-94.8194333
29.3163376,-94.820149
29.3163376,-94.820149
29.3163376,-94.820149
29.4933173,-95.1101883
29.4933173,-95.1101883
29.4933173,-95.1101883
29.5268609,-95.1189008
29.5268609,-95.1189008
29.5644106,-95.6358756
29.5819631,-90.7093026
29.5983886,-95.3693592
29.5983886,-95.3693592
29.6216677,-95.6060863
29.6358841,-95.4111771
29.6358841,-95.4111771
29.6358841,-95.4111771
29.6358841,-95.4111771
29.6419849,-95.6069483
29.6571819,-95.2532212
29.6571819,-95.2532212
29.6603389,-95.030253
29.6686973,-95.0357612
29.6940223,-91.2086699
29.70316,-95.1330679
29.7070145,-95.1489083
29.7311833,-95.4660087
29.7311833,-95.4660087
29.7338521,-95.4628312
29.7338521,-95.4628312
29.7353584,-95.7622011
29.7353584,-95.7622011
29.7353584,-95.7622011
29.7448734,-95.6066786
29.7474618,-95.4576897
29.7488197,-95.4966103
29.7497344,-95.4647982
29.7580248,-95.3635987
29.7585002,-95.3683567
29.7588117,-95.3706871
29.7588117,-95.3706871
29.7589597,-95.6439055
29.7606939,-95.4615102
29.7614256,-95.620966
29.7616891,-95.3642277
29.782667,-95.6356488
29.7831783,-95.5851955
29.7831783,-95.5851955
29.7836421,-95.5936586
29.7867692,-95.6420759
29.7932376,-95.7606155
29.7932376,-95.7606155
29.7932376,-95.7606155
29.7932376,-95.7606155
29.8029413,-95.5697085
29.8059229,-95.4469717
29.8201342,-95.5655603
29.8359085,-90.0009107
29.8418033,-95.5058661
29.9248909,-90.1348831
29.9248909,-90.1348831
29.9395009,-95.4268655
29.944095,-95.3652575
29.944095,-95.3652575
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.946007,-95.4067586
29.947068,-90.0693117
29.9477011,-95.3195631
29.949959,-90.0696767
29.9520282,-90.0703554
29.95504,-95.3759733
29.95504,-95.3759733
29.95504,-95.3759733
29.9568807,-95.375389
29.9568807,-95.375389
29.9568807,-95.375389
29.9571671,-95.3705645
29.9571671,-95.3705645
29.9571671,-95.3705645
29.9612513,-90.1942281
29.9703705,-91.8412061
29.9703705,-91.8412061
29.9703705,-91.8412061
29.985295,122.207215
29.9950316,-95.2983259
29.9950316,-95.2983259
29.9950316,-95.2983259
30.0037924,-95.2920788
30.0037924,-95.2920788
30.0080113,-90.2480344
30.0080113,-90.2480344
30.0080113,-90.2480344
30.0080113,-90.2480344
30.0080113,-90.2480344
30.0174092,-90.1542358
30.0912086,-93.7286963
30.1024342,-95.447163
30.1024342,-95.447163
30.1215473,-95.5365066
30.1570387,-95.7550393
30.1696062,-93.2670461
30.2415132,-81.5192261
30.2451743,-81.541266
30.3281019,-81.5522277
30.3281019,-81.5522277
30.3416704,-88.5135475
30.342712,-91.035343
30.3903,-81.458823
30.393888,-88.264932
30.4032281,-87.2128769
30.593982,-88.064364
30.6779765,-88.0397447
30.69595,-88.04373
31.214131,121.444778
32.2907567,-64.7924489
32.2907567,-64.7924489
32.2907567,-64.7924489
32.293945,-64.787641
32.294883,-64.783687
32.294883,-64.783687
32.295268,-64.78208
32.295268,-64.78208
32.295268,-64.78208
32.6924831,-117.1390725
32.78,-79.93
32.7914268,-96.8036547
32.8064168,-79.9419027
32.8064168,-79.9419027
32.8150964,-79.9930631
33.0871658,-96.8217855
33.6697252,-117.8619581
33.6907136,-117.8814839
33.7575746,-118.1083652
33.7674838,-118.1929648
33.8103879,-118.1684654
34.1484824,-118.1327948
34.6770312,33.0479212
34.7071301,33.0226174
34.7071301,33.0226174
34.7071301,33.0226174
34.7071301,33.0226174
35.0756339,-98.4966794
35.0883991,128.9013407
35.0883991,128.9013407
35.1855659,33.3822764
35.8594551,-78.5787039
35.8594551,-78.5787039
35.9799999,-78.51
36.141761,120.468312
36.7574968,-76.2604938
36.7614118,-76.2642953
36.784823,-76.3691
36.803351,-76.287267
36.825931,-76.0655704
36.825931,-76.0655704
36.8764346,-76.2243292
36.8772924,-76.2235596
37.3748684,-122.0146164
37.3840875,-122.0127955
37.3840875,-122.0127955
37.7851652,-122.2691992
37.7851652,-122.2691992
37.7851652,-122.2691992
37.7851652,-122.2691992
37.7885549,-122.2985577
37.8034665,-122.2876739
37.8034665,-122.2876739
37.8619956,23.7541813
37.8619956,23.7541813
37.8619956,23.7541813
37.8649475,23.875903
37.8911167,-122.1276315
37.8982598,-122.5032164
37.9393131,23.6424563
37.9403963,23.6413225
37.9421075,23.6444187
37.9424423,23.6439995
37.9426747,23.6994683
37.9426747,23.6994683
37.9426747,23.6994683
