--------------
select occupation,count(*),zipcode from Residents where zipcode = '02108' group by occupation ORDER BY 2 desc
--------------

occupation	count(*)	zipcode
V.P. OPERATIONS	1	02108
PROF EMERITUS	1	02108
FUND RAISER	1	02108
URBAN PLANNER	1	02108
MEDIA/ENTERTAIN	1	02108
PRSNL ASST	1	02108
INVSTMNTS	1	02108
SALES DIRECTOR	1	02108
FINADVSR	1	02108
REGISTERED NURS	1	02108
FNCL. ADVISOR	1	02108
SECURITY	1	02108
EQUITY RESEARCH	1	02108
PUBLIC HEATH	1	02108
FBI AGENT	1	02108
REAL ESTATE INV	1	02108
STOCK ANALYST	1	02108
FUNDRAISING	1	02108
SECURITY GUARD	1	02108
FINANCIAL TRADE	1	02108
UNKNWON	1	02108
MARKETING EXEC	1	02108
CMPTR.SCIENTIST	1	02108
EXEC MGMT	1	02108
RESEARCH DIR	1	02108
STRATEGIST	1	02108
ATTORNEY/ADMIN	1	02108
TAXI DRIVER	1	02108
HUMAN RSRS	1	02108
UNDERWRITER	1	02108
PRIV EQUITY VP	1	02108
CLIENT ADVISOR	1	02108
DIGITAL MGR	1	02108
RADIOLOGIST	1	02108
START-UP COMPAN	1	02108
AIRLINE WORKER	1	02108
MAINTENANCE	1	02108
HR DIRECTOR	1	02108
ACCOUNT EXEC	1	02108
TEACHER/ARTIST	1	02108
ENTREPEENEUR	1	02108
FINANCIAL ADV.	1	02108
POSTAL WORKER	1	02108
CLIN RESEARCH	1	02108
SPECIALIST	1	02108
CURATOR	1	02108
ACCOUNT MANAGER	1	02108
GRAPHIC DSGNR	1	02108
GEN. CONTRACTOR	1	02108
PRINC DATA SCI	1	02108
MANUFACTURER	1	02108
FINANCIER	1	02108
PERSONAL TRAINR	1	02108
PR	1	02108
OWNS RETAIL	1	02108
REGISTRED NURSE	1	02108
ADMIN ASSTNT	1	02108
MANUFACTURING	1	02108
EXEC. MRKTG.	1	02108
HOME	1	02108
ELECTRICIAN	1	02108
PRIEST SUPERIOR	1	02108
RECEPTIONIST	1	02108
OCCPTNL THRPST	1	02108
HEALTH CARE ADM	1	02108
PHARMACIST	1	02108
NON PROFIT	1	02108
PHARMA R+D	1	02108
DIR. OF TRADING	1	02108
PROFESSIONAL	1	02108
DIR. OF ALLIANC	1	02108
COMPANY DRCTR	1	02108
SYSTEM ADMIN	1	02108
SALES MGR	1	02108
ENVIRONMENTALIS	1	02108
AESTHETICIAN	1	02108
FIN PLANNER	1	02108
PRE/AUTHOR	1	02108
CONTROLLER	1	02108
ASST. DIR. ANA.	1	02108
UTILITY EXEC	1	02108
VETERINARIAN	1	02108
PHYSICIAN ASST	1	02108
COUNSELOR	1	02108
CIVIL ENGINEER	1	02108
ANTIQUES	1	02108
GENL MANAGER	1	02108
TV HOST	1	02108
CLIENT SERVICE	1	02108
SOFTWARE TR	1	02108
SFWR.DEVELOPER	1	02108
H R ANALYST	1	02108
BUS COMM SPEC	1	02108
INTERPRETER	1	02108
USCIS	1	02108
R E BROKER	1	02108
PATENT ATTORNEY	1	02108
ART DEALER	1	02108
REAL ESTATE BKR	1	02108
CHIEF MEDIA OFC	1	02108
IT CONSULTANT	1	02108
REALESTATE	1	02108
RELIGIOUS	1	02108
RE DEVELOPMENT	1	02108
CUSTOMER SVCS	1	02108
C E O	1	02108
ADVERTSNG	1	02108
IRONSIDE OPTS	1	02108
MEDIA	1	02108
STRATEGY	1	02108
M D	1	02108
PORTFOLIO MGR	1	02108
FED. GVRNMNT	1	02108
STATE EMPLOYEE	1	02108
PRIVATE EQUITY	1	02108
CONSTRUCTION	1	02108
FOUNDATION	1	02108
CABLE TV	1	02108
ACCT COORD	1	02108
PUBLISHER	1	02108
CLINICAL INTERN	1	02108
POLITICAL CNSLT	1	02108
CUST COMMUNCTNS	1	02108
SUPERINTENDENT	1	02108
HIGHER ED ADMIN	1	02108
RETAIL MKTNG	1	02108
BILLING CLERK	1	02108
STYLIST	1	02108
OPTICIAN	1	02108
ADMINSTRV ASST	1	02108
IT EXECUTIVE	1	02108
HOCKEY PLAYER P	1	02108
INVSTMNT MNGMNT	1	02108
DISABLED	1	02108
AMERICORP VISTA	1	02108
PT TEACHER	1	02108
CUSTODIAN	1	02108
M.D.	1	02108
MKTG MGR	1	02108
JP MORGAN ASSOC	1	02108
HOSPITAL AM.AST	1	02108
PROPERTY MNGR	1	02108
SCHOOL ADMNSTR	1	02108
DEVELOPMENT	1	02108
TECHNOLOGY	1	02108
INVESTMENT MGR	1	02108
SECURITY OFF.H.	1	02108
GRAPHIC DESIGNR	1	02108
CERAMIST	1	02108
COL STUDENT	1	02108
INVEST BANKER	1	02108
IT ACCT MANAGER	1	02108
PORFOLIO MGR	1	02108
CEO/EDITOR	1	02108
PUBLISHING	1	02108
HR	1	02108
PROGRAMER	1	02108
MARKETING/SALES	1	02108
R.E BROKER	1	02108
INTL. PROG. ADM	1	02108
MODEL	1	02108
COMP PROGRAMMER	1	02108
SENIOR VP	1	02108
R E AGENT	1	02108
PSYCHOTHRPST	1	02108
FUND ACCT	1	02108
HIGHER EDCTN	1	02108
SALES BANKING	1	02108
